date,risk_off_prob,w_stat,w_fund,w_comp,gross_mult
2024-12-31,0.7163808548446771,0.3634476580621292,0.550733299195637,0.08581904274223386,0.7134476580621292
2025-01-01,0.24081044807612734,0.5536758207695491,0.38428365682664456,0.06204052240380638,0.9036758207695491
2025-01-02,0.6926301518716526,0.37294793925133896,0.5424205531550784,0.08463150759358262,0.7229479392513389
2025-01-03,0.3406188372559574,0.5137524650976171,0.41921659303958514,0.06703094186279787,0.8637524650976172
2025-01-06,0.5720649109179612,0.4211740356328155,0.5002227188212864,0.07860324554589807,0.7711740356328155
2025-01-07,0.4241357445662746,0.4803457021734902,0.4484475105981961,0.07120678722831374,0.8303457021734901
2025-01-08,0.378499761334025,0.49860009546639,0.4324749164669087,0.06892498806670125,0.8486000954663899
2025-01-09,0.6678413874867188,0.38286344500531244,0.5337444856203516,0.08339206937433594,0.7328634450053124
2025-01-10,0.4621032005105319,0.46515871979578727,0.46173612017868615,0.0731051600255266,0.8151587197957872
2025-01-13,0.2015435615617961,0.5693825753752816,0.37054024654662865,0.06007717807808981,0.9193825753752816
2025-01-14,0.6081739819686756,0.4067304072125298,0.5128608936890364,0.08040869909843379,0.7567304072125298
2025-01-15,0.14984857756335684,0.5900605689746572,0.35244700214717484,0.05749242887816784,0.9400605689746572
2025-01-16,0.6529284910155517,0.38882860359377935,0.5285249718554431,0.0826464245507776,0.7388286035937792
2025-01-17,0.9215902928067927,0.2813638828772829,0.6225566024823775,0.09607951464033963,0.6313638828772828
2025-01-20,0.5280220567141685,0.43879117731433265,0.48480771984995896,0.07640110283570843,0.7887911773143326
2025-01-21,0.22131329180308218,0.561474683278767,0.37745965213107874,0.06106566459015411,0.911474683278767
2025-01-22,0.6109838917772367,0.40560644328910533,0.5138443621220328,0.08054919458886184,0.7556064432891053
2025-01-23,0.1889375074563973,0.5744249970174412,0.36612812760973906,0.05944687537281987,0.9244249970174412
2025-01-24,0.34774679320939816,0.5109012827162408,0.42171137762328936,0.06738733966046992,0.8609012827162408
2025-01-27,0.3773366472471524,0.49906534110113904,0.43206782653650333,0.06886683236235762,0.849065341101139
2025-01-28,0.1702995735097589,0.5818801705960964,0.35960485072841564,0.05851497867548795,0.9318801705960964
2025-01-29,0.3754041350565203,0.4998383459773919,0.4313914472697821,0.06877020675282602,0.8498383459773919
2025-01-30,0.635559400117408,0.3957762399530368,0.5224457900410928,0.08177797000587039,0.7457762399530368
2025-01-31,0.3632570211329718,0.5046971915468114,0.42713995739654015,0.0681628510566486,0.8546971915468113
2025-02-03,0.4834758191624835,0.4566096723350066,0.46921653670686925,0.07417379095812418,0.8066096723350066
2025-02-04,0.326346667292437,0.5194613330830252,0.4142213335523529,0.06631733336462185,0.8694613330830252
2025-02-05,0.5482728541932527,0.43069085832269893,0.49189549896763846,0.07741364270966264,0.7806908583226989
2025-02-06,0.4038268833413675,0.48846924666345304,0.44133940916947867,0.07019134416706838,0.838469246663453
2025-02-07,0.5497798654468035,0.43008805382127857,0.4924229529063813,0.07748899327234018,0.7800880538212787
